STATEFP,STATE,NUMBER,COUNTY,YEAR,POPULATION,GROUNDWATER
37,North Carolina,1,Alamance County,2015,158.276,3.279
37,North Carolina,3,Alexander County,2015,37.325,0.348
37,North Carolina,5,Alleghany County,2015,10.837,2.004
37,North Carolina,7,Anson County,2015,25.759,0
37,North Carolina,9,Ashe County,2015,27.02,3.876
37,North Carolina,11,Avery County,2015,17.689,10.782
37,North Carolina,13,Beaufort County,2015,47.651,46.928
37,North Carolina,15,Bertie County,2015,20.199,16.709
37,North Carolina,17,Bladen County,2015,34.318,15.881
37,North Carolina,19,Brunswick County,2015,122.765,13.416
37,North Carolina,21,Buncombe County,2015,253.178,14.467
37,North Carolina,23,Burke County,2015,88.842,0.804
37,North Carolina,25,Cabarrus County,2015,196.762,8.188
37,North Carolina,27,Caldwell County,2015,81.287,1.659
37,North Carolina,29,Camden County,2015,10.309,7.496
37,North Carolina,31,Carteret County,2015,68.879,56.353
37,North Carolina,33,Caswell County,2015,22.941,0.842
37,North Carolina,35,Catawba County,2015,155.056,10.369
37,North Carolina,37,Chatham County,2015,70.928,1.388
37,North Carolina,39,Cherokee County,2015,27.178,2.006
37,North Carolina,41,Chowan County,2015,14.394,13.818
37,North Carolina,43,Clay County,2015,10.703,1.781
37,North Carolina,45,Cleveland County,2015,96.879,1.22
37,North Carolina,47,Columbus County,2015,56.694,20.055
37,North Carolina,49,Craven County,2015,103.451,95.027
37,North Carolina,51,Cumberland County,2015,323.838,35.427
37,North Carolina,53,Currituck County,2015,25.263,23.374
37,North Carolina,55,Dare County,2015,35.663,32.625
37,North Carolina,57,Davidson County,2015,164.622,0
37,North Carolina,59,Davie County,2015,41.753,0.079
37,North Carolina,61,Duplin County,2015,59.159,37.249
37,North Carolina,63,Durham County,2015,300.952,3.85
37,North Carolina,65,Edgecombe County,2015,54.15,4.426
37,North Carolina,67,Forsyth County,2015,369.019,3.801
37,North Carolina,69,Franklin County,2015,63.71,1.386
37,North Carolina,71,Gaston County,2015,213.442,19.932
37,North Carolina,73,Gates County,2015,11.431,9.752
37,North Carolina,75,Graham County,2015,8.616,0.367
37,North Carolina,77,Granville County,2015,58.674,0.624
37,North Carolina,79,Greene County,2015,21.134,6.507
37,North Carolina,81,Guilford County,2015,517.6,12.38
37,North Carolina,83,Halifax County,2015,52.456,0.546
37,North Carolina,85,Harnett County,2015,128.14,0.407
37,North Carolina,87,Haywood County,2015,59.868,0.822
37,North Carolina,89,Henderson County,2015,112.655,3.489
37,North Carolina,91,Hertford County,2015,24.184,19.066
37,North Carolina,93,Hoke County,2015,52.671,42.956
37,North Carolina,95,Hyde County,2015,5.526,5.415
37,North Carolina,97,Iredell County,2015,169.866,31.458
37,North Carolina,99,Jackson County,2015,41.265,7.85
37,North Carolina,101,Johnston County,2015,185.66,14.372
37,North Carolina,103,Jones County,2015,10.013,9.512
37,North Carolina,105,Lee County,2015,59.66,0.985
37,North Carolina,107,Lenoir County,2015,58.106,16.142
37,North Carolina,109,Lincoln County,2015,81.035,0.897
37,North Carolina,111,McDowell County,2015,44.989,4.884
37,North Carolina,113,Macon County,2015,34.201,3.695
37,North Carolina,115,Madison County,2015,21.139,3.692
37,North Carolina,117,Martin County,2015,23.357,6.721
37,North Carolina,119,Mecklenburg County,2015,1034.07,16.143
37,North Carolina,121,Mitchell County,2015,15.246,1.05
37,North Carolina,123,Montgomery County,2015,27.548,0.075
37,North Carolina,125,Moore County,2015,94.352,19.507
37,North Carolina,127,Nash County,2015,93.919,4.413
37,North Carolina,129,New Hanover County,2015,220.358,58.26
37,North Carolina,131,Northampton County,2015,20.426,9.949
37,North Carolina,133,Onslow County,2015,186.311,170.136
37,North Carolina,135,Orange County,2015,141.354,3.938
37,North Carolina,137,Pamlico County,2015,12.781,12.142
37,North Carolina,139,Pasquotank County,2015,39.829,38.297
37,North Carolina,141,Pender County,2015,57.611,13.828
37,North Carolina,143,Perquimans County,2015,13.44,11.174
37,North Carolina,145,Person County,2015,39.259,0.238
37,North Carolina,147,Pitt County,2015,175.842,2.778
37,North Carolina,149,Polk County,2015,20.366,2.928
37,North Carolina,151,Randolph County,2015,142.799,6.058
37,North Carolina,153,Richmond County,2015,45.437,0
37,North Carolina,155,Robeson County,2015,134.197,89.323
37,North Carolina,157,Rockingham County,2015,91.758,3.09
37,North Carolina,159,Rowan County,2015,139.142,6.995
37,North Carolina,161,Rutherford County,2015,66.39,4.699
37,North Carolina,163,Sampson County,2015,63.724,28.938
37,North Carolina,165,Scotland County,2015,35.509,24.65
37,North Carolina,167,Stanly County,2015,60.714,1.573
37,North Carolina,169,Stokes County,2015,46.351,1.985
37,North Carolina,171,Surry County,2015,72.743,4.471
37,North Carolina,173,Swain County,2015,14.434,0.467
37,North Carolina,175,Transylvania County,2015,33.211,7.52
37,North Carolina,177,Tyrrell County,2015,4.07,3.866
37,North Carolina,179,Union County,2015,222.742,0.625
37,North Carolina,181,Vance County,2015,44.568,0.722
37,North Carolina,183,Wake County,2015,1024.198,72.882
37,North Carolina,185,Warren County,2015,20.155,0.68
37,North Carolina,187,Washington County,2015,12.385,11.224
37,North Carolina,189,Watauga County,2015,52.906,4.741
37,North Carolina,191,Wayne County,2015,124.132,77.054
37,North Carolina,193,Wilkes County,2015,68.502,0.105
37,North Carolina,195,Wilson County,2015,81.714,12.478
37,North Carolina,197,Yadkin County,2015,37.585,3.334
37,North Carolina,199,Yancey County,2015,17.587,1.253
